team,w_offensive_goals_scored,w_offensive_xg,w_offensive_xg_performance,w_offensive_goals_per_game,w_defensive_goals_conceded,w_defensive_xga,w_defensive_xga_performance,w_defensive_goals_conceded_per_game,w_form_points,w_form_ppg,w_form_win_rate,w_form_form_last5,w_form_goal_diff_per_game,w_historical_hist_avg_position,w_historical_hist_avg_points,w_historical_hist_titles,w_historical_hist_top_4_rate,w_historical_hist_consistency,w_fixture_fixture_avg_difficulty,w_fixture_fixture_next5_difficulty,w_fixture_fixture_advantage_score,w_fixture_fixture_easy_games,ppg,xg_diff_per_game,goal_diff,points
Arsenal,0.15125,0.17152542372881355,0.12266666666666665,0.15125,0.22,0.22,0.14970414201183432,0.22,0.28,0.27999999999999997,0.28,0.18666666666666668,0.25886792452830193,0.1125609756097561,0.1069458128078818,0.0,0.078,0.03412330364351238,0.012243989314336685,0.04773016546457362,0.012243989314336689,0.075,2.2941176470588234,1.0999999999999999,21,39
Manchester City,0.22,0.22,0.20400000000000001,0.22,0.1711111111111111,0.13784232365145227,0.18875739644970416,0.1711111111111111,0.2648648648648649,0.2648648648648649,0.28,0.28,0.28,0.13,0.13000000000000003,0.13,0.13,0.09411445618123282,0.01110121697833198,0.04658464149342381,0.011101216978331984,0.075,2.176470588235294,0.7999999999999998,25,37
Aston Villa,0.12375,0.039774011299435,0.21066666666666667,0.12375,0.15481481481481482,0.10224066390041495,0.21349112426035502,0.15481481481481482,0.25729729729729733,0.25729729729729733,0.25666666666666665,0.28,0.19547169811320755,0.07451219512195123,0.061317733990147796,0.0,0.026000000000000002,0.007264774084446518,0.020510537251409982,0.00719134492999573,0.020510537251409965,0.12499999999999999,2.1176470588235294,-0.28235294117647064,9,36
Chelsea,0.1375,0.1665536723163842,0.1013333333333333,0.1375,0.16296296296296295,0.10863070539419088,0.217396449704142,0.16296296296296298,0.20432432432432435,0.20432432432432435,0.18666666666666668,0.11200000000000002,0.21132075471698117,0.09829268292682929,0.07860837438423648,0.0,0.078,0.0094701178814011,0.0229296527159396,0.0857233771743742,0.022929652715939598,0.09999999999999999,1.7058823529411764,0.35882352941176476,12,29
Liverpool,0.130625,0.14790960451977403,0.10799999999999997,0.130625,0.09777777777777777,0.12049792531120333,0.09633136094674555,0.09777777777777776,0.20432432432432435,0.20432432432432435,0.21,0.20533333333333334,0.16377358490566038,0.12048780487804879,0.11366995073891628,0.0325,0.10400000000000001,0.08486196367739547,0.0030127634312853294,0.038693254136614334,0.0030127634312853034,0.12499999999999999,1.7058823529411764,0.34705882352941186,3,29
Sunderland,0.06875,0.0,0.1466666666666667,0.06875,0.16296296296296295,0.10680497925311204,0.22,0.16296296296296298,0.18918918918918923,0.1891891891891892,0.16333333333333333,0.14933333333333335,0.15849056603773587,0.023780487804878053,0.01761083743842366,0.0,0.0,0.11111194940025362,0.15,0.15,0.15,0.0,1.588235294117647,-0.4411764705882353,2,27
Manchester Utd,0.15125,0.20881355932203388,0.08266666666666667,0.15125,0.07333333333333333,0.09950207468879668,0.0872189349112426,0.07333333333333333,0.18162162162162165,0.18162162162162165,0.16333333333333333,0.14933333333333335,0.16377358490566038,0.09195121951219513,0.07380541871921184,0.0,0.052000000000000005,0.0,0.01944197091124966,0.05568519304200256,0.019441970911249662,0.15,1.5294117647058822,0.5,3,26
Crystal Palace,0.0825,0.1615819209039548,0.0,0.0825,0.14666666666666667,0.11684647302904565,0.1796449704142012,0.14666666666666667,0.18162162162162165,0.18162162162162165,0.16333333333333333,0.11200000000000002,0.15849056603773587,0.04439024390243903,0.03298029556650248,0.0,0.0,0.05513113306915125,0.020243395666370016,0.08890538820534577,0.020243395666369988,0.09999999999999999,1.5294117647058822,0.38823529411764696,2,26
Brighton,0.11,0.1466666666666667,0.06933333333333332,0.11,0.11407407407407406,0.10406639004149378,0.14579881656804733,0.11407407407407406,0.1664864864864865,0.1664864864864865,0.14,0.09333333333333334,0.15849056603773587,0.06658536585365855,0.049310344827586235,0.0,0.0,0.003361518550941638,0.02405758385277536,0.04219346627068304,0.024057583852775354,0.075,1.411764705882353,0.23529411764705882,2,24
Everton,0.061875,0.06214689265536719,0.06666666666666667,0.061875,0.1385185185185185,0.09128630705394193,0.20307692307692307,0.1385185185185185,0.1664864864864865,0.1664864864864865,0.16333333333333333,0.11200000000000002,0.13735849056603774,0.025365853658536584,0.026256157635467993,0.0,0.0,0.03153523353224607,0.010507569011576267,0.008082308018667786,0.010507569011576245,0.15,1.411764705882353,-0.24705882352941172,-2,24
Newcastle Utd,0.09625,0.10564971751412428,0.08666666666666667,0.09625,0.12222222222222223,0.14240663900414938,0.10414201183431952,0.1222222222222222,0.15891891891891896,0.15891891891891896,0.14,0.14933333333333335,0.15320754716981133,0.023780487804878053,0.01761083743842366,0.0,0.0,0.11111194940025362,0.15,0.15,0.15,0.0,1.3529411764705883,0.288235294117647,1,23
Brentford,0.103125,0.11186440677966102,0.09333333333333334,0.103125,0.09777777777777777,0.10680497925311204,0.11585798816568045,0.09777777777777776,0.15891891891891896,0.15891891891891896,0.16333333333333333,0.13066666666666668,0.14264150943396228,0.04359756097560976,0.03982450738916257,0.0,0.0,0.030980909939155588,0.013386761650341392,0.0,0.013386761650341394,0.12499999999999999,1.3529411764705883,0.08823529411764706,-1,23
Fulham,0.103125,0.04598870056497174,0.164,0.103125,0.08962962962962963,0.10406639004149378,0.10674556213017751,0.08962962962962964,0.15891891891891896,0.15891891891891896,0.16333333333333333,0.168,0.13735849056603774,0.04161585365853659,0.03201970443349755,0.0,0.0,0.01173137024267179,0.020287919263876616,0.11130674586338567,0.020287919263876596,0.09999999999999999,1.3529411764705883,-0.24117647058823538,-2,23
Tottenham,0.116875,0.01864406779661017,0.22,0.116875,0.11407407407407406,0.10315352697095434,0.14710059171597636,0.11407407407407406,0.1513513513513514,0.1513513513513514,0.14,0.07466666666666667,0.16377358490566038,0.08719512195121952,0.07236453201970444,0.0,0.026000000000000002,0.032545369116612856,0.019664588898783187,0.06898599915146367,0.019664588898783163,0.09999999999999999,1.2941176470588236,-0.3764705882352942,3,22
Bournemouth,0.116875,0.1168361581920904,0.11466666666666665,0.116875,0.06518518518518518,0.09767634854771785,0.07680473372781063,0.06518518518518518,0.1513513513513514,0.1513513513513514,0.11666666666666667,0.05600000000000001,0.13207547169811323,0.047560975609756105,0.038423645320197056,0.0,0.0,0.032545369116612856,0.031181359453844013,0.048875689435723325,0.031181359453843992,0.075,1.2941176470588236,0.05294117647058836,-3,22
Leeds United,0.103125,0.11435028248587568,0.09066666666666667,0.103125,0.048888888888888885,0.09219917012448132,0.05857988165680473,0.04888888888888888,0.1286486486486487,0.1286486486486487,0.11666666666666667,0.14933333333333335,0.11094339622641511,0.023780487804878053,0.01761083743842366,0.0,0.0,0.11111194940025362,0.15,0.15,0.15,0.0,1.1176470588235294,0.005882352941176346,-7,19
Nott'ham Forest,0.055,0.06836158192090394,0.04666666666666666,0.055,0.08962962962962963,0.08854771784232365,0.1288757396449704,0.08962962962962964,0.1210810810810811,0.1210810810810811,0.11666666666666667,0.11200000000000002,0.10037735849056606,0.023780487804878053,0.01761083743842366,0.0,0.0,0.11111194940025362,0.15,0.15,0.15,0.0,1.0588235294117647,-0.23529411764705882,-9,18
West Ham,0.06875,0.03355932203389829,0.11066666666666668,0.06875,0.016296296296296295,0.05477178423236515,0.0598816568047337,0.016296296296296305,0.08324324324324325,0.08324324324324325,0.07,0.037333333333333336,0.06339622641509435,0.06341463414634148,0.04690886699507391,0.0,0.0,0.009013620029589687,0.013460967646185882,0.023228680526092452,0.01346096764618586,0.15,0.7647058823529411,-0.6176470588235294,-16,13
Burnley,0.06875,0.0012429378531073577,0.14533333333333331,0.06875,0.024444444444444442,0.0,0.1510059171597633,0.024444444444444425,0.06810810810810812,0.06810810810810812,0.07,0.018666666666666668,0.06867924528301887,0.0,0.0,0.0,0.0,0.12999999999999998,0.02359750667853975,0.06994060246075512,0.023597506678539736,0.075,0.6470588235294118,-1.1235294117647057,-15,11
Wolves,0.0,0.0024858757062146907,0.01066666666666665,0.0,0.0,0.07850622406639003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036463414634146346,0.028657635467980315,0.0,0.0,0.03937696388412367,0.0,0.026092490453966867,0.0,0.09999999999999999,0.11764705882352941,-0.611764705882353,-28,2
